10006,北海道,
20001,青森県,
30007,岩手県,
40002,宮城県,
50008,秋田県,
60003,山形県,
70009,福島県,
80004,茨城県,
90000,栃木県,
100005,群馬県,
110001,埼玉県,
120006,千葉県,
130001,東京都,
140007,神奈川県,
150002,新潟県,
160008,富山県,
170003,石川県,
180009,福井県,
190004,山梨県,
200000,長野県,
210005,岐阜県,
220001,静岡県,
230006,愛知県,
240001,三重県,
250007,滋賀県,
260002,京都府,
270008,大阪府,
280003,兵庫県,
290009,奈良県,
300004,和歌山県,
310000,鳥取県,
320005,島根県,
330001,岡山県,
340006,広島県,
350001,山口県,
360007,徳島県,
370002,香川県,
380008,愛媛県,
390003,高知県,
400009,福岡県,
410004,佐賀県,
420000,長崎県,
430005,熊本県,
440001,大分県,
450006,宮崎県,
460001,鹿児島県,
470007,沖縄県,
